U_imp,Frequency,Amplitude
1.342105263157895,0.19666666666666668,2.96274507570941
1.342105263157895,0.29500000000000004,1.1650270307082635
1.342105263157895,0.39333333333333337,0.7089550038255215
1.342105263157895,0.4916666666666667,0.5432534199154777
1.342105263157895,0.5900000000000001,0.5404810341604007
1.342105263157895,0.6883333333333334,0.6742854313810406
1.342105263157895,0.7866666666666667,4.500532108482123
1.342105263157895,0.8850000000000001,2.266407148650859
1.342105263157895,0.9833333333333334,7.670987523939355
1.342105263157895,1.0816666666666668,6.604586040069314
1.342105263157895,1.1800000000000002,2.4710638805403384
1.342105263157895,1.2783333333333335,1.5601348631043133
1.342105263157895,1.3766666666666667,1.143831945182568
1.342105263157895,1.475,0.8882424837740224
1.342105263157895,1.5733333333333335,0.6934428402151819
1.342105263157895,1.6716666666666669,0.5068218183615094
1.342105263157895,1.7700000000000002,0.29984159019815937
1.342105263157895,1.8683333333333334,0.99283407849378
1.342105263157895,1.9666666666666668,3.6806374008205247
1.342105263157895,2.0650000000000004,1.4261073769768045
1.342105263157895,2.1633333333333336,1.073265368851793
1.342105263157895,2.2616666666666667,0.9230674907993716
1.342105263157895,2.3600000000000003,0.8383390539945943
1.342105263157895,2.4583333333333335,0.7842551800658012
1.342105263157895,2.556666666666667,0.7478102911173857
1.342105263157895,2.6550000000000002,0.7230493167366793
1.342105263157895,2.7533333333333334,0.706916404606662
1.342105263157895,2.851666666666667,0.6977765713001423
1.6526315789473687,0.0,0.32238852550288044
1.6526315789473687,0.09833333333333334,5.820699805046248
1.6526315789473687,0.19666666666666668,8.048423104980012
1.6526315789473687,0.29500000000000004,2.981242611038846
1.6526315789473687,0.39333333333333337,1.793853888864173
1.6526315789473687,0.4916666666666667,1.167994916034303
1.6526315789473687,0.5900000000000001,0.6975096239491955
1.6526315789473687,0.6883333333333334,0.2370842756718604
1.6526315789473687,0.7866666666666667,0.9765671382061382
1.6526315789473687,0.8850000000000001,3.2400035891669083
1.6526315789473687,0.9833333333333334,0.062255989031494804
1.6526315789473687,1.0816666666666668,2.7535124379844698
1.6526315789473687,1.1800000000000002,10.82386301497525
1.6526315789473687,1.2783333333333335,3.224552115272285
1.6526315789473687,1.3766666666666667,2.1772327662655186
1.6526315789473687,1.475,1.732799207414071
1.6526315789473687,1.5733333333333335,1.475720924757301
1.6526315789473687,1.6716666666666669,1.3012248979249745
1.6526315789473687,1.7700000000000002,1.1681413913819787
1.6526315789473687,1.8683333333333334,1.052579938229693
1.6526315789473687,1.9666666666666668,0.9265444238946053
1.6526315789473687,2.0650000000000004,0.6853771418990802
1.6526315789473687,2.1633333333333336,4.688842127360431
1.6526315789473687,2.2616666666666667,1.2751818237497037
1.6526315789473687,2.3600000000000003,1.1035422790940272
1.6526315789473687,2.4583333333333335,1.03194438563817
1.6526315789473687,2.556666666666667,0.9905984472571872
