9.374419063145388309e-01,9.621490133397917477e-01,1.608539367314208435e-01,9.615584057715728106e-01,9.380867651618485237e-01,1.600780853945560356e-01,9.923454896721101148e-01,9.201797425208831926e-01,1.581247469650496895e-01,1.030831762397018680e+00,9.083764511232407246e-01,1.561322714269486600e-01,1.078716008402929916e+00,9.031223264634471448e-01,1.565332526533671498e-01
8.921118364651555721e-01,9.166112299948814268e-01,1.519845835411649249e-01,9.160459304525773172e-01,8.927239553925515603e-01,1.514097288804790997e-01,9.449907807737364385e-01,8.734100429845041980e-01,1.500038975423158283e-01,9.797211337138543863e-01,8.585331348859424061e-01,1.486905461752791591e-01,1.021448614020357137e+00,8.482644333488867927e-01,1.493638141851444945e-01
8.535781755048428288e-01,8.777918291619294378e-01,1.445474085739949510e-01,8.772483905666487169e-01,8.541626389806532549e-01,1.441332625730362138e-01,9.046865586552518268e-01,8.339308524240741649e-01,1.431597093251427144e-01,9.364887113784606809e-01,8.169248647034822453e-01,1.423679342618298094e-01,9.735419694282866354e-01,8.031674610089145627e-01,1.432291047474213985e-01
8.207051384652537251e-01,8.445982401798346473e-01,1.382772543659199493e-01,8.440736972955227291e-01,8.212661322525121044e-01,1.379919896063430962e-01,8.702651953943241203e-01,8.004426998932956394e-01,1.373614233487362724e-01,8.997463658838940059e-01,7.819468488013625596e-01,1.369739126123259987e-01,9.331811141594459347e-01,7.657219549675545744e-01,1.379665864700624078e-01
7.926240510360410552e-01,8.161889532430405270e-01,1.329753536842443740e-01,8.156807269813690642e-01,7.931650832836527609e-01,1.327937150945716072e-01,8.408328868916160603e-01,7.719693557251001703e-01,1.324364170138557228e-01,8.684516488849438609e-01,7.524242528314453171e-01,1.323645884698007869e-01,8.990432620120296647e-01,7.344323416320303055e-01,1.334502560006843030e-01
7.686615409379511377e-01,7.919077990607921169e-01,1.284904568930091140e-01,7.914136213610102333e-01,7.691856008715584059e-01,1.283922667874190238e-01,8.156959958584528714e-01,7.477652144693825997e-01,1.282533004776689745e-01,8.418078612265140759e-01,7.274788781794560011e-01,1.284293392466804573e-01,8.701417011070295970e-01,7.082101100659716764e-01,1.295812445244895195e-01
7.482903714309669940e-01,7.712384580460831529e-01,1.247061213799753321e-01,7.707563122092998542e-01,7.488000461534698449e-01,1.246751182487757792e-01,7.943107463277111480e-01,7.272536418019163174e-01,1.247107443297776064e-01,8.191980948124284456e-01,7.064436405767592353e-01,1.250820151853914985e-01,8.457273637383077025e-01,6.862466894856905641e-01,1.262813049145902200e-01
7.310950387871177902e-01,7.537723305202806978e-01,1.215319641805615164e-01,7.533004032053423060e-01,7.315926012722306915e-01,1.215549058953478423e-01,7.762480686401411756e-01,7.099848529381932449e-01,1.217298913297208129e-01,8.001404186190774759e-01,6.888059635681789139e-01,1.222549575506581415e-01,8.252244761818362528e-01,6.679323188362086272e-01,1.234881939573775067e-01
7.167472722615219061e-01,7.391854705035570960e-01,1.188975328489805666e-01,7.387221125602690952e-01,7.172347491421628973e-01,1.189635027536325301e-01,7.611685742747210659e-01,6.956065183375580441e-01,1.192490867044233155e-01,7.842567117975927093e-01,6.741693343931237647e-01,1.198948273059115555e-01,8.081872368496918480e-01,6.528026444267509554e-01,1.211523399356270875e-01
7.049883518921997716e-01,7.272218232159134432e-01,1.167479499840529400e-01,7.267655172332406766e-01,7.054675768587570506e-01,1.168478160550717460e-01,7.488044926288772718e-01,6.838429118738578172e-01,1.172201550109152057e-01,7.712505963819007437e-01,6.622266592122902917e-01,1.179596406652433233e-01,7.942699725414013034e-01,6.405026890017815333e-01,1.192344072247486370e-01
6.956162405905830237e-01,7.176809547297904324e-01,1.150407889896515740e-01,7.172302876832397089e-01,6.960888974364428661e-01,1.151667772158076614e-01,7.389465200566600611e-01,6.744799556185329115e-01,1.156057388059788943e-01,7.608916240988633506e-01,6.527415275663195349e-01,1.164166359531228351e-01,7.832062388115088591e-01,6.307620912410382141e-01,1.177035036350312647e-01
6.884762049058567035e-01,7.104090641556137786e-01,1.137438263456694576e-01,7.099627039032534448e-01,6.889438631001593150e-01,1.138891784097934567e-01,7.314342284794637106e-01,6.673544508120521357e-01,1.143773875502793885e-01,7.530038917824904976e-01,6.455349437227849707e-01,1.152407314565529611e-01,7.747940574504702527e-01,6.233779069121487826e-01,1.165358605762517458e-01
6.834540365275815210e-01,7.052924617199196611e-01,1.128334354987788751e-01,7.048491363592741532e-01,6.839181814308838980e-01,1.129921276721518320e-01,7.261491289743657873e-01,6.623463718154971591e-01,1.135141931255073122e-01,7.474578932101516582e-01,6.404759609661481168e-01,1.144134174105867069e-01,7.688855129544641676e-01,6.182026620789097260e-01,1.157138710179927699e-01
